response,item,code,node
1,5,Hancock_Participant28_20042017,2t9re
2,6,Hancock_Participant28_20042017,2t9re
1,7,Hancock_Participant28_20042017,2t9re
4,8,Hancock_Participant28_20042017,2t9re
1,9,Hancock_Participant28_20042017,2t9re
2,1,Hancock_Participant29_21042017,2t9re
2,2,Hancock_Participant29_21042017,2t9re
1,3,Hancock_Participant29_21042017,2t9re
3,4,Hancock_Participant29_21042017,2t9re
3,5,Hancock_Participant29_21042017,2t9re
2,6,Hancock_Participant29_21042017,2t9re
2,7,Hancock_Participant29_21042017,2t9re
3,8,Hancock_Participant29_21042017,2t9re
2,9,Hancock_Participant29_21042017,2t9re
1,1,Hancock_Participant30_24042017,2t9re
2,2,Hancock_Participant30_24042017,2t9re
5,3,Hancock_Participant30_24042017,2t9re
5,4,Hancock_Participant30_24042017,2t9re
4,5,Hancock_Participant30_24042017,2t9re
3,6,Hancock_Participant30_24042017,2t9re
2,7,Hancock_Participant30_24042017,2t9re
5,8,Hancock_Participant30_24042017,2t9re
2,9,Hancock_Participant30_24042017,2t9re
2,1,Hancock_Participant31_24042017,2t9re
4,2,Hancock_Participant31_24042017,2t9re
3,3,Hancock_Participant31_24042017,2t9re
4,4,Hancock_Participant31_24042017,2t9re
5,5,Hancock_Participant31_24042017,2t9re
3,6,Hancock_Participant31_24042017,2t9re
2,7,Hancock_Participant31_24042017,2t9re
4,8,Hancock_Participant31_24042017,2t9re
3,9,Hancock_Participant31_24042017,2t9re
1,1,Hancock_Participant32_24042017,2t9re
4,2,Hancock_Participant32_24042017,2t9re
2,3,Hancock_Participant32_24042017,2t9re
4,4,Hancock_Participant32_24042017,2t9re
3,5,Hancock_Participant32_24042017,2t9re
3,6,Hancock_Participant32_24042017,2t9re
3,7,Hancock_Participant32_24042017,2t9re
4,8,Hancock_Participant32_24042017,2t9re
3,9,Hancock_Participant32_24042017,2t9re
1,1,Hancock_Participant38_03052017,2t9re
3,2,Hancock_Participant38_03052017,2t9re
1,3,Hancock_Participant38_03052017,2t9re
4,4,Hancock_Participant38_03052017,2t9re
4,5,Hancock_Participant38_03052017,2t9re
1,6,Hancock_Participant38_03052017,2t9re
2,7,Hancock_Participant38_03052017,2t9re
2,8,Hancock_Participant38_03052017,2t9re
2,9,Hancock_Participant38_03052017,2t9re
1,1,Hancock_Participant39_04052017,2t9re
2,2,Hancock_Participant39_04052017,2t9re
2,3,Hancock_Participant39_04052017,2t9re
3,4,Hancock_Participant39_04052017,2t9re
3,5,Hancock_Participant39_04052017,2t9re
2,6,Hancock_Participant39_04052017,2t9re
1,7,Hancock_Participant39_04052017,2t9re
2,8,Hancock_Participant39_04052017,2t9re
1,9,Hancock_Participant39_04052017,2t9re
1,1,Hancock_Participant40_04052017,2t9re
4,2,Hancock_Participant40_04052017,2t9re
2,3,Hancock_Participant40_04052017,2t9re
5,4,Hancock_Participant40_04052017,2t9re
4,5,Hancock_Participant40_04052017,2t9re
1,6,Hancock_Participant40_04052017,2t9re
2,7,Hancock_Participant40_04052017,2t9re
4,8,Hancock_Participant40_04052017,2t9re
1,9,Hancock_Participant40_04052017,2t9re
1,1,Hancock_Participant41_04052017,2t9re
2,2,Hancock_Participant41_04052017,2t9re
2,3,Hancock_Participant41_04052017,2t9re
3,4,Hancock_Participant41_04052017,2t9re
3,5,Hancock_Participant41_04052017,2t9re
1,6,Hancock_Participant41_04052017,2t9re
1,7,Hancock_Participant41_04052017,2t9re
3,8,Hancock_Participant41_04052017,2t9re
2,9,Hancock_Participant41_04052017,2t9re
2,1,Hancock_Participant42_04052017,2t9re
4,2,Hancock_Participant42_04052017,2t9re
1,3,Hancock_Participant42_04052017,2t9re
5,4,Hancock_Participant42_04052017,2t9re
4,5,Hancock_Participant42_04052017,2t9re
1,6,Hancock_Participant42_04052017,2t9re
3,7,Hancock_Participant42_04052017,2t9re
5,8,Hancock_Participant42_04052017,2t9re
4,9,Hancock_Participant42_04052017,2t9re
1,1,Hancock_Participant43_05052017,2t9re
4,2,Hancock_Participant43_05052017,2t9re
3,3,Hancock_Participant43_05052017,2t9re
5,4,Hancock_Participant43_05052017,2t9re
5,5,Hancock_Participant43_05052017,2t9re
3,6,Hancock_Participant43_05052017,2t9re
4,7,Hancock_Participant43_05052017,2t9re
4,8,Hancock_Participant43_05052017,2t9re
2,9,Hancock_Participant43_05052017,2t9re
2,1,Hancock_Participant44_05052017,2t9re
3,2,Hancock_Participant44_05052017,2t9re
2,3,Hancock_Participant44_05052017,2t9re
4,4,Hancock_Participant44_05052017,2t9re
3,5,Hancock_Participant44_05052017,2t9re
2,6,Hancock_Participant44_05052017,2t9re
2,7,Hancock_Participant44_05052017,2t9re
2,8,Hancock_Participant44_05052017,2t9re
2,9,Hancock_Participant44_05052017,2t9re
2,1,Hancock_Participant45_05052017,2t9re
4,2,Hancock_Participant45_05052017,2t9re
3,3,Hancock_Participant45_05052017,2t9re
5,4,Hancock_Participant45_05052017,2t9re
3,5,Hancock_Participant45_05052017,2t9re
3,6,Hancock_Participant45_05052017,2t9re
4,7,Hancock_Participant45_05052017,2t9re
5,8,Hancock_Participant45_05052017,2t9re
2,9,Hancock_Participant45_05052017,2t9re
1,1,Hancock_Participant46_05052017,2t9re
3,2,Hancock_Participant46_05052017,2t9re
2,3,Hancock_Participant46_05052017,2t9re
4,4,Hancock_Participant46_05052017,2t9re
2,5,Hancock_Participant46_05052017,2t9re
1,6,Hancock_Participant46_05052017,2t9re
2,7,Hancock_Participant46_05052017,2t9re
3,8,Hancock_Participant46_05052017,2t9re
1,9,Hancock_Participant46_05052017,2t9re
3,1,Hancock_Participant47_05052017,2t9re
4,2,Hancock_Participant47_05052017,2t9re
2,3,Hancock_Participant47_05052017,2t9re
5,4,Hancock_Participant47_05052017,2t9re
3,5,Hancock_Participant47_05052017,2t9re
3,6,Hancock_Participant47_05052017,2t9re
2,7,Hancock_Participant47_05052017,2t9re
5,8,Hancock_Participant47_05052017,2t9re
3,9,Hancock_Participant47_05052017,2t9re
3,1,Hancock_Participant48_08052017,2t9re
2,2,Hancock_Participant48_08052017,2t9re
2,3,Hancock_Participant48_08052017,2t9re
2,4,Hancock_Participant48_08052017,2t9re
3,5,Hancock_Participant48_08052017,2t9re
1,6,Hancock_Participant48_08052017,2t9re
2,7,Hancock_Participant48_08052017,2t9re
3,8,Hancock_Participant48_08052017,2t9re
2,9,Hancock_Participant48_08052017,2t9re
2,1,Hancock_Participant49_08052017,2t9re
3,2,Hancock_Participant49_08052017,2t9re
1,3,Hancock_Participant49_08052017,2t9re
5,4,Hancock_Participant49_08052017,2t9re
3,5,Hancock_Participant49_08052017,2t9re
3,6,Hancock_Participant49_08052017,2t9re
2,7,Hancock_Participant49_08052017,2t9re
4,8,Hancock_Participant49_08052017,2t9re
1,9,Hancock_Participant49_08052017,2t9re
1,1,Hancock_Participant50_08052017,2t9re
3,2,Hancock_Participant50_08052017,2t9re
1,3,Hancock_Participant50_08052017,2t9re
2,4,Hancock_Participant50_08052017,2t9re
3,5,Hancock_Participant50_08052017,2t9re
3,6,Hancock_Participant50_08052017,2t9re
3,7,Hancock_Participant50_08052017,2t9re
2,8,Hancock_Participant50_08052017,2t9re
3,9,Hancock_Participant50_08052017,2t9re
1,1,Hancock_Participant51_08052017,2t9re
4,2,Hancock_Participant51_08052017,2t9re
1,3,Hancock_Participant51_08052017,2t9re
4,4,Hancock_Participant51_08052017,2t9re
2,5,Hancock_Participant51_08052017,2t9re
1,6,Hancock_Participant51_08052017,2t9re
1,7,Hancock_Participant51_08052017,2t9re
2,8,Hancock_Participant51_08052017,2t9re
1,9,Hancock_Participant51_08052017,2t9re
2,1,Hancock_Participant52_08052017,2t9re
4,2,Hancock_Participant52_08052017,2t9re
4,3,Hancock_Participant52_08052017,2t9re
5,4,Hancock_Participant52_08052017,2t9re
5,5,Hancock_Participant52_08052017,2t9re
4,6,Hancock_Participant52_08052017,2t9re
4,7,Hancock_Participant52_08052017,2t9re
5,8,Hancock_Participant52_08052017,2t9re
4,9,Hancock_Participant52_08052017,2t9re
1,1,Hancock_Participant53_09052017,2t9re
3,2,Hancock_Participant53_09052017,2t9re
3,3,Hancock_Participant53_09052017,2t9re
4,4,Hancock_Participant53_09052017,2t9re
3,5,Hancock_Participant53_09052017,2t9re
2,6,Hancock_Participant53_09052017,2t9re
4,7,Hancock_Participant53_09052017,2t9re
4,8,Hancock_Participant53_09052017,2t9re
1,9,Hancock_Participant53_09052017,2t9re
2,1,Hancock_Participant54_09052017,2t9re
3,2,Hancock_Participant54_09052017,2t9re
3,3,Hancock_Participant54_09052017,2t9re
4,4,Hancock_Participant54_09052017,2t9re
4,5,Hancock_Participant54_09052017,2t9re
3,6,Hancock_Participant54_09052017,2t9re
3,7,Hancock_Participant54_09052017,2t9re
5,8,Hancock_Participant54_09052017,2t9re
2,9,Hancock_Participant54_09052017,2t9re
2,1,Hancock_Participant55_09052017,2t9re
3,2,Hancock_Participant55_09052017,2t9re
2,3,Hancock_Participant55_09052017,2t9re
3,4,Hancock_Participant55_09052017,2t9re
4,5,Hancock_Participant55_09052017,2t9re
2,6,Hancock_Participant55_09052017,2t9re
2,7,Hancock_Participant55_09052017,2t9re
2,8,Hancock_Participant55_09052017,2t9re
3,9,Hancock_Participant55_09052017,2t9re
3,1,Hancock_Participant56_10052017,2t9re
4,2,Hancock_Participant56_10052017,2t9re
3,3,Hancock_Participant56_10052017,2t9re
4,4,Hancock_Participant56_10052017,2t9re
4,5,Hancock_Participant56_10052017,2t9re
2,6,Hancock_Participant56_10052017,2t9re
3,7,Hancock_Participant56_10052017,2t9re
4,8,Hancock_Participant56_10052017,2t9re
2,9,Hancock_Participant56_10052017,2t9re
1,1,Hancock_Participant57_10052017,2t9re
1,2,Hancock_Participant57_10052017,2t9re
1,3,Hancock_Participant57_10052017,2t9re
3,4,Hancock_Participant57_10052017,2t9re
2,5,Hancock_Participant57_10052017,2t9re
1,6,Hancock_Participant57_10052017,2t9re
1,7,Hancock_Participant57_10052017,2t9re
4,8,Hancock_Participant57_10052017,2t9re
1,9,Hancock_Participant57_10052017,2t9re
1,1,Hancock_Participant58_10052017,2t9re
3,2,Hancock_Participant58_10052017,2t9re
1,3,Hancock_Participant58_10052017,2t9re
5,4,Hancock_Participant58_10052017,2t9re
3,5,Hancock_Participant58_10052017,2t9re
1,6,Hancock_Participant58_10052017,2t9re
1,7,Hancock_Participant58_10052017,2t9re
3,8,Hancock_Participant58_10052017,2t9re
1,9,Hancock_Participant58_10052017,2t9re
1,1,Hancock_Participant59_10052017,2t9re
4,2,Hancock_Participant59_10052017,2t9re
2,3,Hancock_Participant59_10052017,2t9re
4,4,Hancock_Participant59_10052017,2t9re
3,5,Hancock_Participant59_10052017,2t9re
2,6,Hancock_Participant59_10052017,2t9re
3,7,Hancock_Participant59_10052017,2t9re
5,8,Hancock_Participant59_10052017,2t9re
1,9,Hancock_Participant59_10052017,2t9re
1,1,Hancock_Participant60_11052017,2t9re
3,2,Hancock_Participant60_11052017,2t9re
1,3,Hancock_Participant60_11052017,2t9re
4,4,Hancock_Participant60_11052017,2t9re
3,5,Hancock_Participant60_11052017,2t9re
2,6,Hancock_Participant60_11052017,2t9re
2,7,Hancock_Participant60_11052017,2t9re
2,8,Hancock_Participant60_11052017,2t9re
1,9,Hancock_Participant60_11052017,2t9re
1,1,Hancock_Participant61_11052017,2t9re
5,2,Hancock_Participant61_11052017,2t9re
4,3,Hancock_Participant61_11052017,2t9re
5,4,Hancock_Participant61_11052017,2t9re
4,5,Hancock_Participant61_11052017,2t9re
1,6,Hancock_Participant61_11052017,2t9re
1,7,Hancock_Participant61_11052017,2t9re
4,8,Hancock_Participant61_11052017,2t9re
2,9,Hancock_Participant61_11052017,2t9re
3,1,Hancock_Participant62_11052017,2t9re
5,2,Hancock_Participant62_11052017,2t9re
5,3,Hancock_Participant62_11052017,2t9re
5,4,Hancock_Participant62_11052017,2t9re
2,5,Hancock_Participant62_11052017,2t9re
3,6,Hancock_Participant62_11052017,2t9re
4,7,Hancock_Participant62_11052017,2t9re
5,8,Hancock_Participant62_11052017,2t9re
1,9,Hancock_Participant62_11052017,2t9re
2,1,Hancock_Participant63_11052017,2t9re
4,2,Hancock_Participant63_11052017,2t9re
4,3,Hancock_Participant63_11052017,2t9re
5,4,Hancock_Participant63_11052017,2t9re
4,5,Hancock_Participant63_11052017,2t9re
3,6,Hancock_Participant63_11052017,2t9re
3,7,Hancock_Participant63_11052017,2t9re
4,8,Hancock_Participant63_11052017,2t9re
2,9,Hancock_Participant63_11052017,2t9re
4,1,Hancock_Participant64_11052017,2t9re
5,2,Hancock_Participant64_11052017,2t9re
4,3,Hancock_Participant64_11052017,2t9re
5,4,Hancock_Participant64_11052017,2t9re
4,5,Hancock_Participant64_11052017,2t9re
3,6,Hancock_Participant64_11052017,2t9re
3,7,Hancock_Participant64_11052017,2t9re
5,8,Hancock_Participant64_11052017,2t9re
3,9,Hancock_Participant64_11052017,2t9re
1,1,Hancock_Participant65_12052017,2t9re
1,2,Hancock_Participant65_12052017,2t9re
1,3,Hancock_Participant65_12052017,2t9re
2,4,Hancock_Participant65_12052017,2t9re
3,5,Hancock_Participant65_12052017,2t9re
1,6,Hancock_Participant65_12052017,2t9re
1,7,Hancock_Participant65_12052017,2t9re
2,8,Hancock_Participant65_12052017,2t9re
1,9,Hancock_Participant65_12052017,2t9re
1,1,Hancock_Participant66_12052017,2t9re
2,2,Hancock_Participant66_12052017,2t9re
1,3,Hancock_Participant66_12052017,2t9re
3,4,Hancock_Participant66_12052017,2t9re
4,5,Hancock_Participant66_12052017,2t9re
2,6,Hancock_Participant66_12052017,2t9re
2,7,Hancock_Participant66_12052017,2t9re
2,8,Hancock_Participant66_12052017,2t9re
2,9,Hancock_Participant66_12052017,2t9re
1,1,Hancock_Participant67_12052017,2t9re
1,2,Hancock_Participant67_12052017,2t9re
1,3,Hancock_Participant67_12052017,2t9re
1,4,Hancock_Participant67_12052017,2t9re
2,5,Hancock_Participant67_12052017,2t9re
1,6,Hancock_Participant67_12052017,2t9re
1,7,Hancock_Participant67_12052017,2t9re
3,8,Hancock_Participant67_12052017,2t9re
1,9,Hancock_Participant67_12052017,2t9re
1,1,COLLING_S001_170313,3s4uh
1,2,COLLING_S001_170313,3s4uh
1,3,COLLING_S001_170313,3s4uh
1,4,COLLING_S001_170313,3s4uh
1,5,COLLING_S001_170313,3s4uh
1,6,COLLING_S001_170313,3s4uh
1,7,COLLING_S001_170313,3s4uh
1,8,COLLING_S001_170313,3s4uh
1,9,COLLING_S001_170313,3s4uh
1,1,COLLING_S002_170313,3s4uh
3,2,COLLING_S002_170313,3s4uh
2,3,COLLING_S002_170313,3s4uh
5,4,COLLING_S002_170313,3s4uh
3,5,COLLING_S002_170313,3s4uh
1,6,COLLING_S002_170313,3s4uh
1,7,COLLING_S002_170313,3s4uh
5,8,COLLING_S002_170313,3s4uh
1,9,COLLING_S002_170313,3s4uh
1,1,COLLING_S004_170313,3s4uh
1,2,COLLING_S004_170313,3s4uh
1,3,COLLING_S004_170313,3s4uh
1,4,COLLING_S004_170313,3s4uh
2,5,COLLING_S004_170313,3s4uh
1,6,COLLING_S004_170313,3s4uh
1,7,COLLING_S004_170313,3s4uh
2,8,COLLING_S004_170313,3s4uh
2,9,COLLING_S004_170313,3s4uh
4,1,COLLING_S005_170314,3s4uh
5,2,COLLING_S005_170314,3s4uh
3,3,COLLING_S005_170314,3s4uh
5,4,COLLING_S005_170314,3s4uh
3,5,COLLING_S005_170314,3s4uh
2,6,COLLING_S005_170314,3s4uh
2,7,COLLING_S005_170314,3s4uh
4,8,COLLING_S005_170314,3s4uh
2,9,COLLING_S005_170314,3s4uh
2,1,COLLING_S006_170314,3s4uh
1,2,COLLING_S006_170314,3s4uh
3,3,COLLING_S006_170314,3s4uh
3,4,COLLING_S006_170314,3s4uh
3,5,COLLING_S006_170314,3s4uh
1,6,COLLING_S006_170314,3s4uh
1,7,COLLING_S006_170314,3s4uh
4,8,COLLING_S006_170314,3s4uh
2,9,COLLING_S006_170314,3s4uh
1,1,COLLING_S007_170314,3s4uh
3,2,COLLING_S007_170314,3s4uh
1,3,COLLING_S007_170314,3s4uh
4,4,COLLING_S007_170314,3s4uh
1,5,COLLING_S007_170314,3s4uh
2,6,COLLING_S007_170314,3s4uh
2,7,COLLING_S007_170314,3s4uh
3,8,COLLING_S007_170314,3s4uh
1,9,COLLING_S007_170314,3s4uh
4,1,COLLING_S008_170314,3s4uh
3,2,COLLING_S008_170314,3s4uh
4,3,COLLING_S008_170314,3s4uh
5,4,COLLING_S008_170314,3s4uh
4,5,COLLING_S008_170314,3s4uh
5,6,COLLING_S008_170314,3s4uh
4,7,COLLING_S008_170314,3s4uh
2,8,COLLING_S008_170314,3s4uh
3,9,COLLING_S008_170314,3s4uh
1,1,COLLING_S009_170314,3s4uh
3,2,COLLING_S009_170314,3s4uh
1,3,COLLING_S009_170314,3s4uh
4,4,COLLING_S009_170314,3s4uh
2,5,COLLING_S009_170314,3s4uh
1,6,COLLING_S009_170314,3s4uh
1,7,COLLING_S009_170314,3s4uh
3,8,COLLING_S009_170314,3s4uh
1,9,COLLING_S009_170314,3s4uh
1,1,COLLING_S011_170320,3s4uh
5,2,COLLING_S011_170320,3s4uh
4,3,COLLING_S011_170320,3s4uh
5,4,COLLING_S011_170320,3s4uh
5,5,COLLING_S011_170320,3s4uh
4,6,COLLING_S011_170320,3s4uh
2,7,COLLING_S011_170320,3s4uh
5,8,COLLING_S011_170320,3s4uh
3,9,COLLING_S011_170320,3s4uh
4,1,COLLING_S012_170320,3s4uh
3,2,COLLING_S012_170320,3s4uh
3,3,COLLING_S012_170320,3s4uh
